tool_id	catalog_tool_id	context	level	status	auroc	aupr	f1_at_truth_count	epr_at_truth_count	n_truth_edges	n_predicted_edges	reason
inferelator3_group_native	inferelator3	group:pop_5_2	topology	ok	0.939549485403586	0.15455026165246777	0.17142857142857143	13.683673469387754	140	854	
kscreni_group_aggregated	kscreni	group:pop_5_2	topology	ok	0.5292284290245324	0.016342487419501988	0.02857142857142857	2.280612244897959	140	11147	
scmtni_group_native	scmtni	group:pop_5_2	topology	ok	0.9235704576347984	0.6309728363627961	0.8357142857142857	66.7079081632653	140	142	
scregulate_group_native	scregulate	group:pop_5_2	topology	ok	0.902014369862127	0.25439194594674724	0.3357142857142857	26.797193877551017	140	420	
simic_group_native	simic	group:pop_5_2	topology	ok	0.9677914428118325	0.16136403889159007	0.16428571428571428	13.113520408163264	140	864	
clr_group_emulated	clr	group:pop_5_3	topology	ok	0.5298307333808013	0.012829442064419886	0.007142857142857143	0.5701530612244897	140	3875	
genie3_group_emulated	genie3	group:pop_5_3	topology	ok	0.9724383455239821	0.20021324067964466	0.20714285714285716	16.534438775510203	140	872	
grnboost2_group_emulated	grnboost2	group:pop_5_3	topology	ok	0.9702058385656029	0.18241556213277935	0.15714285714285714	12.543367346938775	140	873	
inferelator3_group_native	inferelator3	group:pop_5_3	topology	ok	0.9604204155608778	0.1481542455998589	0.15714285714285714	12.543367346938775	140	862	
kscreni_group_aggregated	kscreni	group:pop_5_3	topology	ok	0.5362395624312253	0.014193736524875392	0.007142857142857143	0.5701530612244897	140	11090	
scmtni_group_native	scmtni	group:pop_5_3	topology	ok	0.911632468120914	0.5096156267547169	0.7	55.87499999999999	140	158	
scregulate_group_native	scregulate	group:pop_5_3	topology	ok	0.9199598679526183	0.27181284754019097	0.34285714285714286	27.36734693877551	140	420	
simic_group_native	simic	group:pop_5_3	topology	ok	0.9690711372904395	0.17335300231806264	0.17857142857142858	14.253826530612244	140	864	
